24h_volume_usd;available_supply;id;last_updated;market_cap_usd;max_supply;name;percent_change_1h;percent_change_24h;percent_change_7d;price_btc;price_usd;rank;symbol;total_supply
462552.0;12608697.0;neblio;1512549576;51113765.0;;Neblio;0.04;43654;37.88;0.00032399;4.05385;131;NEBL;13342694.0
435186.0;14651140.0;aeon;1512549550;51111382.0;;Aeon;-4.76;-10.62;-10.76;0.00027881;3.48856;132;AEON;14651140.0
320977.0;4310598.0;open-trading-network;1512549580;50996530.0;100000000.0;Open Trading Network;13150;-16.2;-38.72;0.00094552;2339684;133;OTN;81686645.0
4018180.0;74836171.0;enigma-project;1512549579;50700758.0;;Enigma;18872;29952;35.92;5.415e-05;0.67749;134;ENG;150000000.0
744.054;443168182458.0;fedoracoin;1512549542;50670964.0;;FedoraCoin;11689;833.01;92.1;0;0.000114338;135;TIPS;443168182458.0
12967200.0;113139200.0;rise;1512549556;49700467.0;;Rise;12420;-15.5;22.61;3.511e-05;0.439286;136;RISE;113139200.0
290374.0;41025654.0;emercoin;1512549546;49371503.0;;Emercoin;23012;43504;18.98;9.618e-05;1.20343;137;EMC;41025654.0
1630080.0;38295641.0;mcap;1512549567;48382713.0;;MCAP;-5.67;-9.24;145.42;0.00010097;268090;138;MCAP;100000000.0
1088880.0;92147500.0;trust;1512549565;46532737.0;100000000.0;WeTrust;44713;35916;21.89;4.036e-05;0.504981;139;TRST;100000000.0
28940100.0;103475722.0;global-currency-reserve;1512549551;46349880.0;;Global Currency Reserve;-2.72;88.88;197.22;3.58e-05;0.44793;140;GCR;103475722.0
546659.0;90889517.0;asch;1512549565;45750965.0;;Asch;-0.44;-3.79;-8.84;4.023e-05;0.503369;141;XAS;112389517.0
56048600.0;178250000.0;ink;1512549585;45281204.0;1000000000.0;Ink;-2.81;43658;47.46;2.03e-05;0.254032;142;INK;1000000000.0
655732.0;599400.0;melon;1512549563;45098077.0;;Melon;0.63;-6.7;-7.44;0.0060132;75.2387;143;MLN;749400.0
1989690.0;325000000.0;cofound-it;1512549574;44642650.0;;Cofound.it;-1.12;-16.88;24593;1.098e-05;0.137362;144;CFI;500000000.0
1974900.0;51306089.0;decent;1512549560;44616955.0;;DECENT;0.96;-14.89;33635;6.95e-05;0.869623;145;DCT;73197775.0
88066.7;58703.0;jinn;1512549550;44186159.0;;Jinn;16834;78.76;60.13;0.0601576;752.707;146;JINN;1000000.0
5377580.0;14736400.0;namecoin;1512549541;43735719.0;;Namecoin;-1.05;26.47;43601;0.0002372;2.96787;147;NMC;14736400.0
1056210.0;701884009.0;pepe-cash;1512549558;42907363.0;;Pepe Cash;44440;36.18;89.62;4.89e-06;0.0611317;148;PEPECASH;701884009.0
4821890.0;15949540.0;sibcoin;1512549550;42550501.0;;SIBCoin;32690;19784;48.59;0.00021322;2.66782;149;SIB;15949540.0
4099790.0;75614500.0;bitzeny;1512549549;42510623.0;;Bitzeny;45261;416.04;3360.71;4.493e-05;0.562202;150;ZNY;75614500.0
4662470.0;560650080.0;coindash;1512549574;41893007.0;;CoinDash;16072;51.38;81.47;5.97e-06;0.0747222;151;CDT;1000000000.0
1347500.0;42000000.0;agoras-tokens;1512549550;41389530.0;;Agoras Tokens;-0.21;-14.63;72.81;7.876e-05;0.985465;152;AGRS;42000000.0
639710.0;248536697.0;whitecoin;1512549544;40850734.0;;WhiteCoin;-0.12;29.44;133.56;1.314e-05;0.164365;153;XWC;248536697.0
4227430.0;150000000.0;airswap;1512549579;40587900.0;;AirSwap;-1.07;-2.2;16011;2.163e-05;0.270586;154;AST;500000000.0
3551740.0;5124071.0;cloakcoin;1512549546;40424203.0;;CloakCoin;0.39;43650;43505;0.00063051;7.88908;155;CLOAK;5124071.0
1284800.0;28683781717.0;reddcoin;1512549543;39431595.0;;ReddCoin;43468;-7.06;18810;1.1e-07;0.0013747;156;RDD;28683781717.0
3121460.0;1132673199.0;time-new-bank;1512549587;39261738.0;;Time New Bank;1.0;12206;25.45;2.77e-06;0.0346629;157;TNB;5541877892.0
1565280.0;85558371.0;firstblood;1512549558;38828699.0;;FirstBlood;43466;-11.93;-7.66;3.627e-05;0.453827;158;1ST;93468691.0
4560800.0;17366200.0;modum;1512549580;38736525.0;27266200.0;Modum;0.26;-2.01;-13.65;0.00017827;2.23057;159;MOD;27266200.0
13153500.0;210000000.0;voxels;1512549560;38046330.0;210000000.0;Voxels;25934;-13.78;129.0;1.448e-05;0.181173;160;VOX;210000000.0
1522760.0;1153170765.0;zeusshield;1512549579;37699805.0;;Zeusshield;0.4;-1.14;19633;2.61e-06;0.0326923;161;ZSC;5642500000.0
8356220.0;422513667.0;tierion;1512549576;36619344.0;;Tierion;-0.89;-8.46;-2.94;6.93e-06;0.0866702;162;TNT;1000000000.0
2557520.0;113195885.0;library-credit;1512549556;36067378.0;;LBRY Credits;11720;-14.17;14458;2.547e-05;0.318628;163;LBC;505095888.0
11268500.0;73378359.0;okcash;1512549548;35574489.0;105000000.0;OKCash;0.84;-16.67;23.39;3.875e-05;0.484809;164;OK;73378359.0
424819.0;357477745.0;gulden;1512549543;35504296.0;;Gulden;-1.8;15493;23071;7.94e-06;0.0993189;165;NLG;459497900.0
313716.0;2544641.0;diamond;1512549541;35484513.0;;Diamond;-1.8;42675;25.62;0.00111449;13.9448;166;DMD;2544641.0
77609.2;227384800.0;pillar;1512549573;35161876.0;;Pillar;-0.09;-5.08;15373;1.236e-05;0.154636;167;PLR;800000000.0
517554.0;8146001.0;taas;1512549564;34692514.0;;TaaS;-0.08;3.0;-0.73;0.00034037;4.25884;168;TAAS;8146001.0
8258.24;816061.0;supernet-unity;1512549546;33695068.0;;SuperNET;16834;-6.39;-17.98;0.00329996;41.2899;169;UNITY;816061.0
1227850.0;18109309.0;ion;1512549555;32889222.0;;ION;-2.91;42856;17.75;0.00014515;1.81615;170;ION;24009309.0
18832.4;39236491.0;grid;1512549583;32746972.0;;Grid+;-0.12;-3.27;-14.2;6.67e-05;0.834605;171;GRID;300000000.0
3994420.0;40000000.0;blocktix;1512549574;32201360.0;;Blocktix;-1.62;17168;103.65;6.434e-05;0.805034;172;TIX;62500000.0
3008920.0;1808259.0;bitcore;1512549569;32101488.0;;Bitcore;-1.73;-21.11;-44.18;0.00141882;17.7527;173;BTX;16625338.0
3555600.0;32105578.0;triggers;1512549559;31755434.0;;Triggers;43470;-5.06;-6.28;7.905e-05;0.989094;174;TRIG;32105578.0
8710120.0;10708403.0;eidoo;1512549579;31658430.0;;Eidoo;-4.27;34.64;30.64;0.00023628;2.95641;175;EDO;90708326.0
295379.0;204575065.0;nolimitcoin;1512549557;30881015.0;;NoLimitCoin;11749;-6.69;-31.0;1.206e-05;0.150952;176;NLC2;204575065.0
7723090.0;75000000.0;guppy;1512549565;30879750.0;;Matchpool;0.31;-9.37;98.81;3.291e-05;0.41173;177;GUP;98855150.0
1137310.0;11476063.0;shift;1512549551;30492587.0;;Shift;27760;17593;21.25;0.00021236;2.65706;178;SHIFT;11476063.0
1334840.0;1296779.0;numeraire;1512549569;30402594.0;21000000.0;Numeraire;-0.27;-14.65;40.77;0.00187374;23.4447;179;NMR;2296779.0
1051360.0;68000000.0;centra;1512549574;30158680.0;;Centra;43709;-10.28;-13.47;3.545e-05;0.44351;180;CTR;98272765.0
41632.1;10720038.0;boolberry;1512549545;30045587.0;18450000.0;Boolberry;0.43;47239;113.6;0.000224;2.80275;181;BBR;10720038.0
300703.0;1445976590.0;cindicator;1512549580;29978710.0;;Cindicator;0.68;-0.63;13241;1.66e-06;0.0207325;182;CND;2000000005.0
1467040.0;76530743.0;blackcoin;1512549543;29847449.0;;BlackCoin;43709;-5.0;16.37;3.117e-05;0.390006;183;BLK;76530743.0
3595180.0;600000000.0;district0x;1512549574;29846880.0;;district0x;-0.34;-10.68;43562;3.98e-06;0.0497448;184;DNT;1000000000.0
29900.8;2496834675.0;bitqy;1512549576;29597478.0;;bitqy;43712;-13.16;0.91;9.5e-07;0.011854;185;BQ;10000000000.0
427358.0;127107942.0;xaurum;1512549548;29083060.0;;Xaurum;43617;-6.93;14.84;1.829e-05;0.228806;186;XAUR;127107942.0
391904.0;16294062.0;crown;1512549547;28786067.0;;Crown;-0.57;19299;43729;0.00014119;1.76666;187;CRW;16294062.0
